Monthly Dates,Monthly Avg
01/2008,456.83932
02/2008,459.182216
03/2008,457.248768
04/2008,454.511664
05/2008,458.64272
06/2008,458.323696
07/2008,458.272896
08/2008,458.831696
09/2008,457.129896
10/2008,451.803008
11/2008,447.32448
12/2008,449.551552
01/2009,450.436488
02/2009,451.96252
03/2009,455.707496
04/2009,454.579736
05/2009,451.931024
06/2009,452.585328
07/2009,450.813424
08/2009,448.089528
09/2009,444.9064
10/2009,442.989208
11/2009,444.608712
12/2009,447.8782
01/2010,452.157592
02/2010,453.848216
03/2010,455.78776
04/2010,453.657208
05/2010,451.9422
06/2010,450.661024
07/2010,451.204584
08/2010,451.983856
09/2010,452.715376
10/2010,452.679816
11/2010,455.728832
12/2010,455.718672
01/2011,457.701904
02/2011,457.44384
03/2011,457.010008
04/2011,459.263496
05/2011,460.174848
06/2011,460.058008
07/2011,459.695296
08/2011,458.335888
09/2011,457.523088
10/2011,455.991976
11/2011,455.265536
12/2011,456.240896
01/2012,455.39152
02/2012,455.707496
03/2012,456.313032
04/2012,456.97648
05/2012,457.373736
06/2012,459.49616
07/2012,458.837792
08/2012,456.561952
09/2012,454.95972
10/2012,453.67448
11/2012,449.562728
12/2012,450.248528
01/2013,456.6158
02/2013,456.2094
03/2013,456.286616
04/2013,455.846688
05/2013,457.075032
06/2013,455.367136
07/2013,452.872856
08/2013,454.754488
09/2013,456.932792
10/2013,456.088496
11/2013,455.585576
12/2013,454.918064
01/2014,456.281536
02/2014,456.122024
03/2014,454.740264
04/2014,455.500232
05/2014,453.433688
06/2014,447.702432
07/2014,439.38952
08/2014,433.158392
09/2014,432.568096
10/2014,427.910752
11/2014,422.044368
12/2014,420.506144
01/2015,423.253408
02/2015,425.833032
03/2015,424.582336
04/2015,420.606728
05/2015,420.275512
06/2015,422.726104
07/2015,424.445176
08/2015,425.977304
09/2015,427.775624
10/2015,426.372528
11/2015,424.126152
12/2015,422.715944
01/2016,424.7642
02/2016,427.850808
03/2016,423.926
04/2016,420.290752
05/2016,429.309784
06/2016,437.665368
07/2016,443.92596
08/2016,449.998592
09/2016,450.906896
10/2016,449.863464
11/2016,448.03568
12/2016,447.788792
01/2017,443.596776
02/2017,439.71464
03/2017,450.893688
04/2017,458.488288
05/2017,458.415136
06/2017,458.579728
07/2017,459.92796
08/2017,459.881224
09/2017,459.33868
10/2017,458.034136
11/2017,456.319128
12/2017,455.798936
01/2018,454.204832
02/2018,452.548752
03/2018,452.204328
04/2018,452.845424
05/2018,455.236072
06/2018,456.823064
07/2018,456.86472
08/2018,456.765152
09/2018,456.242928
10/2018,456.240896
11/2018,455.830432
12/2018,453.869552
01/2019,452.776336
02/2019,452.325232
03/2019,451.59676
04/2019,452.166736
05/2019,453.992488
06/2019,457.709016
07/2019,459.026768
08/2019,458.976984
09/2019,459.203552
10/2019,457.542392
11/2019,456.672696
12/2019,456.923648
01/2020,453.289416
02/2020,451.121272
03/2020,449.682616
04/2020,449.6562
05/2020,453.605392
06/2020,457.508864
07/2020,457.679552
08/2020,459.030832
09/2020,459.036928
10/2020,458.565504
11/2020,457.501752
12/2020,455.362056
01/2021,451.250304
02/2021,450.005704
03/2021,451.137528
04/2021,451.9168
05/2021,450.840856
06/2021,451.219824
07/2021,448.398392
08/2021,441.983368
09/2021,433.706016
10/2021,424.898312
11/2021,421.889936
12/2021,419.136576
01/2022,420.783512
02/2022,424.34764
03/2022,435.621176
04/2022,441.418472
05/2022,440.79668
06/2022,439.085736
07/2022,435.613048
08/2022,428.622968
09/2022,424.409616
10/2022,424.309032
11/2022,425.619672
12/2022,424.979592
01/2023,424.585384
02/2023,425.63796
03/2023,433.221384
04/2023,439.279792
05/2023,442.961776
06/2023,456.312016
07/2023,459.807056
08/2023,460.133192
09/2023,459.533752
10/2023,458.960728
11/2023,459.3171877